Iteration,Total Error,Output o1,Output o2
0,0.1958515993749852,0.606477732206728,0.6304808354506348
1,0.19012398050823204,0.5976475831177033,0.6331356666659308
2,0.18449283949166684,0.5888204782896197,0.6357378690671639
3,0.1789655213953013,0.5800105708150559,0.6382887126519192
4,0.1735487055632251,0.5712316688558504,0.6407894394860412
5,0.1682483588707137,0.5624971192208034,0.6432412633159513
6,0.16306970294436526,0.553819702345928,0.6456453693499459
7,0.15801719525517666,0.5452115404054898,0.6480029141899897
8,0.15309452356325598,0.5366840197783274,0.6503150258960609
9,0.14830461281976323,0.5282477285802022,0.6525828041657978
10,0.14364964333012653,0.5199124094756017,0.6548073206130508
11,0.13913107876004022,0.5116869275242087,0.656989619129947
12,0.13474970242382994,0.5035792524158205,0.6591307163181868
13,0.1305056602300047,0.495596454115,0.6612316019765011
14,0.1263985086636224,0.48774471067962166,0.6632932396324607
15,0.12242726624904003,0.4800293268370183,0.6653165671081112
16,0.1185904670475742,0.47245476179445245,0.6673024971101863
17,0.11488621488993198,0.4650246647205031,0.6692519178368834
18,0.11131223721073229,0.45774191635161626,0.6711656935943636
19,0.10786593753092126,0.45060867524313264,0.6730446654172288
20,0.10454444581386248,0.4436264272857007,0.6748896516882276
21,0.10134466609467825,0.43679603723554555,0.676701448753341
22,0.0982633209442584,0.43011780115087656,0.6784808315291905
23,0.09529699247526947,0.4235914987782908,0.6802285541003955
24,0.09244215972513913,0.4172164450852864,0.6819453503051048
25,0.08969523235937919,0.41099154028236157,0.6836319343074134
26,0.08705258072784652,0.4049153178164765,0.6852890011557912
27,0.08451056237754508,0.3989859899440492,0.6869172273269819
28,0.0820655451798287,0.39320149060442366,0.688517271255099
29,0.07971392726920022,0.3875595154131046,0.6900897738458514
30,0.0774521540173166,0.3820575586779706,0.6916353589759949
31,0.07527673228132646,0.3766929474116651,0.6931546339782223
32,0.0731842421722377,0.37146287237035214,0.69464819011179
33,0.07117134658845108,0.36636441619416704,0.6961166030192396
34,0.06923479875352037,0.36139457875930114,0.6975604331696078
35,0.06737144798703865,0.35655029987709425,0.6989802262885384
36,0.06557824392450522,0.3518284794930927,0.700376513775719
37,0.06385223938710936,0.34722599555003725,0.7017498131100631
38,0.062190592086393826,0.34273971968434686,0.7031006282430485
39,0.06059056533237834,0.3383665309269095,0.7044294499806127
40,0.05904952789743323,0.3341033275768059,0.705736756353987
41,0.057564953172368295,0.3299470374117925,0.7070230129798388
42,0.05613441773611002,0.32589462639262745,0.7082886734100683
43,0.054755599446159126,0.32194310601022075,0.709534179471592
44,0.05342627514386343,0.3180895394155935,0.7107599615964258
45,0.052144318056460914,0.3143310464631274,0.7119664391423681
46,0.050907694966861136,0.31066480778787686,0.7131540207045611
47,0.04971446321221875,0.307088068028037,0.7143231044182032
48,0.048562767563473705,0.30359813829419524,0.7154740782526648
49,0.047450837030131254,0.30019239797787217,0.7166073202972533
50,0.04637698162756612,0.29686829598317,0.7177231990388601
51,0.04533958913798983,0.2936233514571629,0.7188220736317139
52,0.044337121890842615,0.29045515408700995,0.7199042941594558
53,0.04336811358369322,0.2873613640246746,0.7209702018897424
54,0.042431166160676735,0.28433971149358883,0.7220201295215801
55,0.04152494676200995,0.28138799612559856,0.723054401425583
56,0.04064818475512897,0.2785040860710511,0.7240733338773438
57,0.03979966885544185,0.2756859169199114,0.7250772352841024
58,0.03897824434252145,0.2729314904672913,0.7260664064048883
59,0.038182810375737564,0.2702388733527167,0.7270411405643129
60,0.037412317411794974,0.2676061955988087,0.7280017238601817
61,0.03666576472537007,0.2650316490717873,0.7289484353650916
62,0.035942198032985664,0.26251348588328133,0.7298815473221759
63,0.03524070721940223,0.26005001675032907,0.7308013253351563
64,0.03456042416510727,0.25763960932813496,0.7317080285528563
65,0.03390052067292751,0.25528068652809843,0.7326019098483283
66,0.03326020649135238,0.25297172483181357,0.7334832159927437
67,0.032638727431821224,0.2507112526101339,0.7343521878241903
68,0.032035363576977456,0.2484978484549862,0.7352090604115195
69,0.031449427576714435,0.24633013953037464,0.736054063213384
70,0.030880263028720954,0.24420679994792946,0.7368874202325998
71,0.030327242940165627,0.24212654917140283,0.7377093501659662
72,0.029789768267132748,0.24008815045368215,0.738520066549676
73,0.029267266528430046,0.2380904093091721,0.7393197779004393
74,0.028759190490421783,0.236132172023766,0.7401086878524487
75,0.02826501691959738,0.23421232420408586,0.7408869952903022
76,0.027784245399658673,0.2323297893672042,0.7416548944780086
77,0.027316397209995385,0.2304835275716553,0.742412575184184
78,0.026861014262515057,0.22867253409020302,0.7431602228035562
79,0.026417658093896953,0.22689583812453584,0.7438980184748842
80,0.025985908910448757,0.22515250156181457,0.7446261391954021
81,0.025565364682856632,0.22344161777278745,0.7453447579318868
82,0.025155640288231505,0.22176231045101039,0.7460540437284572
83,0.024756366696969963,0.22011373249257055,0.7467541618111961
84,0.024367190202058582,0.21849506491558576,0.7474452736896978
85,0.02398777168856387,0.21690551581866196,0.7481275372556278
86,0.023617785941156755,0.21534431937740864,0.7488011068783909
87,0.023256920987628535,0.21381073487805805,0.7494661334979925
88,0.0229048774764566,0.2123040457871839,0.7501227647151791
89,0.022561368086578278,0.2108235588564853,0.7507711448789426
90,0.022226116967627163,0.20936860326158024,0.7514114151714664
91,0.021898859208977557,0.20793852977373903,0.7520437136905955
92,0.021579340336031396,0.2065327099634836,0.7526681755299024
93,0.021267315832265894,0.20515053543498213,0.7532849328564261
94,0.02096255068564062,0.20379141709017298,0.7538941149861538
95,0.02066481895803953,0.20245478442156764,0.7544958484573153
96,0.02037390337649575,0.20114008483269458,0.7550902571015581
97,0.0200895949450167,0.19984678298516803,0.7556774621130671
98,0.019811692575892416,0.19857436017138547,0.7562575821156945
99,0.019540002739432495,0.19732231371188225,0.7568307332281577
100,0.01927433913113537,0.19609015637639568,0.7573970291273701
101,0.01901452235535048,0.19487741582771928,0.7579565811099555
102,0.018760379624545458,0.19368363408745234,0.7585094981520085
103,0.018511744473341325,0.19250836702278096,0.7590558869671521
104,0.018268456486525055,0.19135118385345104,0.7595958520629426
105,0.018030361040293656,0.19021166667812497,0.7601294957956783
106,0.017797309056026,0.18908941001934043,0.7606569184236563
107,0.017569156765917904,0.187984020386317,0.761178218158926
108,0.017345765489853397,0.1868951158548853,0.7616934912175878
109,0.017127001422920632,0.1858223256638391,0.7622028318686791
110,0.016912735433013488,0.18476528982703785,0.7627063324816918
111,0.016702842867991785,0.18372365876061292,0.7632040835727629
112,0.01649720337190214,0.1826970929246568,0.7636961738495798
113,0.016295700709789446,0.1816852624787981,0.7641826902550374
114,0.01609822260065493,0.18068784695108933,0.7646637180096876
115,0.01590466055814172,0.17970453491965876,0.7651393406530165
116,0.015714909738551802,0.1787350237065984,0.7656096400835839
117,0.015528868795820196,0.17777901908358312,0.7660746965980622
118,0.015346439743092907,0.17683623498873627,0.7665345889292059
119,0.015167527820574516,0.17590639325427776,0.7669893942827855
120,0.014992041369329684,0.17498922334450961,0.7674391883735144
121,0.014819891710739854,0.17408446210371284,0.7678840454600039
122,0.014650993031333081,0.17319185351354796,0.7683240383787696
123,0.014485262272719804,0.17231114845956816,0.7687592385773236
124,0.014322619026382176,0.17144210450647102,0.769189716146374
